Cratogeomys fumosus
Cratogeomys goldmani
Cratogeomys gymnurus
Cratogeomys merriami
Cratogeomys neglectus
Cratogeomys perotensis
Cratogeomys planiceps
Cratogeomys tylorhinus
Cratogeomys zinseri
Cremnomys cutchicus
Cricetomys ansorgei
Cricetomys emini
Cricetomys gambianus
Cricetulus barabensis
Cricetulus griseus
Cricetulus kamensis
Cricetulus longicaudatus
Cricetulus migratorius
Cricetulus sokolovi
Cricetus cricetus
Crocidura absconditus
Crocidura aleksandrisi
Crocidura attenuata
Crocidura baileyi
Crocidura batakorum
Crocidura batesi
Crocidura beatus
Crocidura beccarii
Crocidura brunnea
Crocidura buettikoferi
Crocidura canariensis
Crocidura caspica
Crocidura crenata
Crocidura crossei
Crocidura cyanea
Crocidura dolichura
Crocidura douceti
Crocidura dsinezumi
Crocidura eburnea
Crocidura elongata
Crocidura fingui
Crocidura flavescens
Crocidura foetida
Crocidura foxi
Crocidura fuliginosa
Crocidura fulvastra
Crocidura fumosa
Crocidura fuscomurina
Crocidura glassi
Crocidura goliath
Crocidura grandiceps
Crocidura grassei
Crocidura grayi
Crocidura hikmiya
Crocidura hildegardeae
Crocidura hirta
Crocidura horsfieldii
Crocidura ichnusae
Crocidura indochinensis
Crocidura jouvenetae
Crocidura kivuana
Crocidura lamottei
Crocidura lanosa
Crocidura lasiura
Crocidura latona
Crocidura lepidura
Crocidura leucodon
Crocidura levicula
Crocidura littoralis
Crocidura luna
Crocidura lusitania
Crocidura macmillani
Crocidura malayana
Crocidura mariquensis
Crocidura maurisca
Crocidura maxi
Crocidura mdumai
Crocidura mindorus
Crocidura miya
Crocidura monacha
Crocidura monax
Crocidura monticola
Crocidura montis
Crocidura munissii
Crocidura muricauda
Crocidura musseri
Crocidura nanilla
Crocidura neglecta
Crocidura negligens
Crocidura negrina
Crocidura newmarki
Crocidura nigripes
Crocidura nimbae
Crocidura nimbasilvanus
Crocidura ninoyi
Crocidura niobe
Crocidura obscurior
Crocidura olivieri
Crocidura orientalis
Crocidura orii
Crocidura palawanensis
Crocidura panayensis
Crocidura paradoxura
Crocidura parvipes
Crocidura phanluongi
Crocidura phuquocensis
Crocidura poensis
Crocidura rapax
Crocidura rhoditis
Crocidura roosevelti
Crocidura russula
Crocidura shantungensis
Crocidura sibirica
Crocidura sicula
Crocidura silacea
Crocidura sokolovi
Crocidura somalica
Crocidura stenocephala
Crocidura suaveolens
Crocidura tanakae
Crocidura tansaniana
Crocidura tarfayensis
Crocidura telfordi
Crocidura thalia
Crocidura theresae
Crocidura turba
Crocidura usambarae
Crocidura viaria
Crocidura vosmaeri
Crocidura watasei
Crocidura wimmeri
Crocidura wuchihensis
Crocidura zaitsevi
Crocidura zarudnyi
Crocidura zimmermanni
Crocuta crocuta
Crossarchus alexandri
Crossarchus ansorgei
Crossarchus obscurus
Crossarchus platycephalus
Crossomys moncktoni
Crunomys celebensis
Crunomys melanius
Crunomys suncoides
Cryptomys hottentotus
Cryptonanus chacoensis
Cryptonanus guahybae
Cryptonanus unduaviensis
Cryptoprocta ferox
Cryptotis alticolus
Cryptotis celaque
Cryptotis evaristoi
Cryptotis goldmani
Cryptotis gracilis
Cryptotis lacertosus
Cryptotis magnus
Cryptotis mam
Cryptotis mayensis
Cryptotis mccarthyi
Cryptotis merriami
Cryptotis mexicanus
Cryptotis montivagus
Cryptotis nelsoni
Cryptotis niausa
Cryptotis nigrescens
Cryptotis obscurus
Cryptotis oreoryctes
Cryptotis orophilus
Cryptotis parvus
Cryptotis peregrinus
Cryptotis phillipsii
Cryptotis thomasi
Cryptotis tropicalis
Ctenodactylus vali
Ctenomys argentinus
Ctenomys australis
Ctenomys azarae
Ctenomys bergi
Ctenomys boliviensis
Ctenomys bonettoi
Ctenomys colburni
Ctenomys conoveri
Ctenomys coyhaiquensis
Ctenomys dorbignyi
Ctenomys dorsalis
Ctenomys erikacuellarae
Ctenomys famosus
Ctenomys flamarioni
Ctenomys fodax
Ctenomys frater
Ctenomys fulvus
Ctenomys goodfellowi
Ctenomys haigi
Ctenomys ibicuiensis
Ctenomys juris
Ctenomys lami
Ctenomys latro
Ctenomys leucodon
Ctenomys lewisi
Ctenomys magellanicus
Ctenomys maulinus
Ctenomys mendocinus
Ctenomys minutus
Ctenomys nattereri
Ctenomys occultus
Ctenomys opimus
Ctenomys pearsoni
Ctenomys perrensi
Ctenomys pilarensis
Ctenomys porteousi
Ctenomys pundti
Ctenomys rionegrensis
Ctenomys roigi
Ctenomys saltarius
Ctenomys scagliai
Ctenomys sericeus
Ctenomys sociabilis
Ctenomys steinbachi
Ctenomys talarum
Ctenomys torquatus
Ctenomys tuconax
Ctenomys tucumanus
Ctenomys yolandae
Cuon alpinus
Cuscomys ashaninka
Cyclopes didactylus
Cynictis penicillata
Cynocephalus volans
Cynogale bennetti
Cynomops abrasus
Cynomops greenhalli
Cynomops mexicanus
Cynomops paranus
Cynomops planirostris
Cynomys gunnisoni
Cynomys leucurus
Cynomys ludovicianus
Cynomys mexicanus
Cynomys parvidens
Cynopterus brachyotis
Cynopterus horsfieldii
Cynopterus sphinx
Cystophora cristata
Cyttarops alecto
Dacnomys millardi
Dactylomys boliviensis
Dactylomys dactylinus
Dactylomys peruanus
Dactylopsila palpator
Dactylopsila trivirgata
Dama dama
Dama mesopotamica
Damaliscus lunatus
