"harmMeans_Lam" "arithMeans_Lam" "harmMeans_Mu" "arithMeans_Mu" "harmMeans_NetDiv" "arithMeans_NetDiv" "harmMeans_NetDiv_sub" "arithMeans_NetDiv_sub"
"Acomys_wilsoni_MURIDAE_RODENTIA" 0.168651019447449 0.17833217696407 0.00420546550137382 0.0515809197402387 0.114982129387504 0.126751257223832 0.164445553946075 0.126751257223832
"Aconaemys_fuscus_OCTODONTIDAE_RODENTIA" 0.234123033184439 0.23911817396362 0.0304690730900555 0.11234504372829 0.119493419596007 0.12677313023533 0.203653960094383 0.12677313023533
"Aconaemys_porteri_OCTODONTIDAE_RODENTIA" 0.233673873495882 0.239064366303356 0.0305069152363257 0.11241177526229 0.119723346323107 0.126652591041066 0.203166958259556 0.126652591041066
"Aconaemys_sagei_OCTODONTIDAE_RODENTIA" 0.234236062166576 0.239126793282235 0.0304677231382346 0.11234976785829 0.119446314652898 0.126777025423945 0.203768339028341 0.126777025423945
"Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA" 0.166253108473773 0.182774172780856 0.00813529759759898 0.0398288125148349 0.14334341761475 0.142945360266021 0.158117810876174 0.142945360266021
"Addax_nasomaculatus_BOVIDAE_CETARTIODACTYLA" 0.278413848532819 0.281164329953276 0.00604972532466582 0.0476960024604854 0.224114731255443 0.23346832749279 0.272364123208154 0.23346832749279
"Aegialomys_galapagoensis_CRICETIDAE_RODENTIA" 0.199015933864648 0.199992566043911 0.000770893598396236 0.0075490195665223 0.192486873785002 0.192443546477389 0.198245040266252 0.192443546477389
"Aegialomys_xanthaeolus_CRICETIDAE_RODENTIA" 0.197316859901494 0.199936019359378 0.000771987130925317 0.0076008123390923 0.192205986345177 0.192335207020286 0.196544872770569 0.192335207020286
"Aepeomys_lugens_CRICETIDAE_RODENTIA" 0.209036894094744 0.213582396395205 0.00110943714093341 0.0140691578283853 0.19459458834572 0.19951323856682 0.207927456953811 0.19951323856682
"Aepeomys_reigi_CRICETIDAE_RODENTIA" 0.208614807899554 0.213583839544781 0.00110863117290057 0.0139838432656853 0.194794663522947 0.199599996279096 0.207506176726653 0.199599996279096
"Aepyceros_melampus_BOVIDAE_CETARTIODACTYLA" 0.237038252345908 0.277320430388228 0.00623247391852932 0.0491145820514654 1.32173363094863 0.228205848336763 0.230805778427378 0.228205848336763
"Aepyprymnus_rufescens_POTOROIDAE_DIPROTODONTIA" 0.218177981872521 0.246229071723398 0.0058276949198543 0.0428857640176944 0.176912618756674 0.203343307705703 0.212350286952667 0.203343307705703
