species	Family	alt_mean	alt_min	alt_max	latitude_mean	latitude_min	latitude_max	mean_temp	min_temp	max_temp	litter_or_clutch_size_n	GenerationLength_d	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Graomys_griseoflavus	Cricetidae	401.948717948718	2	2290	-30.1020944697711	-45.58659	-18.26667	189.550847457627	90	253	7.01	589.3882991	2021607.648	0.0675	0.528256
Gulo_gulo	Mustelidae	739.437533227007	1	6098	64.6024196144797	49.0697492134867	71.2906058193239	-3.97185591645278	-214	65	2.84	2622.30185	24230006.78	17.0126	219
Gymnuromys_roberti	Nesomyidae	920	920	920	-18.85631	-18.85631	-18.85631	197	197	197	1.94	604.575	78248.68509	0.0975	0.516138
Habromys_ixtlani	Cricetidae	2798	2501	3095	17.5666843736479	17.5507151746734	17.5826535726223	121	121	121	1.9	589.3882991	93.17098038	0.0934	0.117657
Habromys_lepturus	Cricetidae	2255	2255	2255	17.1607354607279	17.1607354607279	17.1607354607279	136	136	136	1.9	589.3882991	96.01240347	0.085	0.112178
Habromys_lophurus	Cricetidae	2535.75	1954	3065	15.4725329935773	14.5206	16.8235408549659	145.375	112	180	NA	589.3882991	25492.12263	0.04	0.242754
Handleyomys_alfaroi	Cricetidae	1305.84126984127	7	3060	11.355377835459	-0.03333	23.0998932751804	198.111111111111	106	275	3.735	589.3882991	848597.6817	0.0333	0.465705
Handleyomys_chapmani	Cricetidae	1486	1435	1537	18.9036857874653	17.6326515749307	20.17472	183	165	201	3.735	589.3882991	36651.84787	0.05	0.298485
Handleyomys_melanotis	Cricetidae	1153	23	2075	19.2996458532212	17.6451353714237	20.5783859071383	241.333333333333	163	272	3.88	589.3882991	139846.2537	0.05	0.398564
Handleyomys_saturatior	Cricetidae	1655.77777777778	432	2638	15.2141077777778	13.66667	16.00765	188.888888888889	130	230	3.735	589.3882991	109933.3645	0.0265	0.262685
Hapalemur_griseus	Lemuridae	897	466	1078	-18.662292	-18.92446	-18.198	199.4	187	226	1.2	3285	86592.92288	0.9	0.689879
Haplonycteris_fischeri	Pteropodidae	723.287671232877	0	2085	11.0635702702703	6.2146	18.54444	237.5	176	272	1	1350.0402	272315.6278	0.018	0.165149
Heimyscus_fumosus	Muridae	538.833333333333	465	609	2.83333333333333	1	4	238.333333333333	224	245	NA	624.3996409	511509.6737	0.0143	0.256813
Heliophobius_argenteocinereus	Bathyergidae	1165.625	351	2788	-6.74354309223901	-16.0567242137362	-1.46667	211.5	100	255	2.53	967.375	2149524.326	0.181	0.307705
Hemiechinus_auritus	Erinaceidae	549.59793814433	-21	2385	34.0480289795822	28.4833	47.79733	163.020408163265	12	247	4	940.3939	9132409.057	0.342	2.467757
Herpestes_brachyurus	Herpestidae	71.2857142857143	14	163	3.99324285714286	1.26667	8.95	266.142857142857	258	271	3.49	1730.465	1289061.534	1.8535	5.136915
Herpestes_ichneumon	Herpestidae	345.094777562863	-398	1909	33.9337911324376	-34.35809	40.14	179.247600767754	125	281	2.955	2731.95905	14647912.92	5.175	21.382364
Herpestes_javanicus	Herpestidae	400.25	0	1318	17.4607825371557	-7.53302	31.65806	236.791666666667	180	277	2.21	1472.701	2148711.504	0.75	4.865256
Herpestes_sanguineus	Herpestidae	1014.76	62	2589	-6.5162124	-26.7167	8.525	218.2	148	268	2.23	1421.102183	16998076.92	0.55	4.459401
Herpestes_urva	Herpestidae	538.545454545455	20	1487	23.6115145454545	15.33333	28.5	205	165	246	3	1669.307222	4098703.047	1.8632	6.614284
Heterocephalus_glaber	Heterocephalidae	925.272727272727	485	1663	1.76592272727273	-1.06667	9.61263	230.909090909091	180	262	8.95	2023.309775	1367566.559	0.055	0.664961
Heterohyrax_brucei	Procaviidae	1275.25	2	2589	-3.1582965625	-20.45	12.6	210.875	137	274	1.89	2139.1548	6011529.274	2.625	5.045814
Heteromys_anomalus	Heteromyidae	416.407407407407	8	2259	9.19229851851852	4.1866	11.25	251.962962962963	151	282	2.415	873.5194667	311516.0443	0.07	0.359902
Heteromys_desmarestianus	Heteromyidae	1059.3550295858	20	3065	13.6724694132088	7.93333	18.7173477815477	211.603550295858	101	266	3.185	873.5194667	482513.0542	0.0725	0.393431
Heteromys_gaumeri	Heteromyidae	81.3333333333333	-2	336	19.342678998772	16.915	21.492	257.138888888889	247	265	2.95	873.5194667	168924.6655	0.0636	0.299088
Heteromys_nelsoni	Heteromyidae	3390	3390	3390	15.033	15.033	15.033	105	105	105	NA	873.5194667	484.8166686	0.0542	0.077362
Heteromys_oresterus	Heteromyidae	2244.5	1858	2631	9.6616232240515	9.65	9.673246448103	136.5	120	153	3.705	873.5194667	1344.387512	0.0748	0.115193
Hippopotamus_amphibius	Hippopotamidae	881.549019607843	4	2084	-12.4004757843137	-28.30292	13.64265	220.28431372549	154	290	1	3650	1905252.915	1417.49	127.051734
Hipposideros_armiger	Hipposideridae	688.229166666667	7	4709	17.7626419813183	2.28333	30.81667	215.145833333333	28	278	NA	1834.2256	4516307.454	0.053	0.955847
Hipposideros_beatus	Hipposideridae	438.521739130435	37	939	4.3940447826087	1.35	6.71667	250.521739130435	236	268	NA	1834.2256	1657862.776	0.0067	0.203758
Hipposideros_bicolor	Hipposideridae	226.266666666667	4	1132	-1.847228	-10.85	8.15	257	226	273	0.99	1834.2256	1605605.439	0.0076	0.219428
Hipposideros_caffer	Hipposideridae	809.434210526316	1	3882	-1.21258368421053	-22.25	12.91667	230.776315789474	64	280	0.995	1834.2256	6420240.343	0.0094	0.33931
Hipposideros_cervinus	Hipposideridae	270.589473684211	3	1630	-5.6547904447641	-17.683	7.2834	252.108910891089	169	274	0.995	1834.2256	1991170.428	0.0093	0.261711
Hipposideros_cineraceus	Hipposideridae	493.454545454545	4	1487	11.5817751818449	3.13333	26.96667	234.545454545455	165	270	0.98	1834.2256	2226726.874	0.0047	0.172908
Hipposideros_diadema	Hipposideridae	305.198863636364	3	2192	0.212700735916403	-18.266	18.25	252.702247191011	158	276	1	1834.2256	3361686.971	0.0438	0.793381
Hipposideros_galeritus	Hipposideridae	272	10	1117	4.20723	-0.31688	7.83	255.875	203	273	0.99	1834.2256	2373124.752	0.0082	0.250693
Hipposideros_gigas	Hipposideridae	294.428571428571	62	593	5.13985142857143	0.56243	11.75003	253.142857142857	233	268	1	1834.2256	3623019.041	0.1665	1.902142
Hipposideros_larvatus	Hipposideridae	396.125	3	1885	7.60626575757576	-7.76667	26	244.969696969697	155	274	0.98	1834.2256	3325759.071	0.0199	0.476721
Hipposideros_pomona	Hipposideridae	784	293	1900	19.9073983333333	16.9632	25.08333	218.833333333333	152	244	0.99	1834.2256	2870005.999	0.0062	0.218238
Hipposideros_ruber	Hipposideridae	870.746268656716	15	3384	1.69334782608696	-11.06667	10.33333	230.507246376812	102	276	1	1834.2256	9178565.098	0.0101	0.383851
Hipposideros_turpis	Hipposideridae	107	107	107	24.45	24.45	24.45	234	234	234	1	1834.2256	49290.66421	0.0334	0.267821
Hippotragus_niger	Bovidae	1006.33333333333	198	1875	-15.1585257894737	-23.97618	-4.28342	220.052631578947	169	267	1	3053.3552	3049412.571	227.4993	51.209238
Holochilus_brasiliensis	Cricetidae	77.78	2	672	-30.6282261409653	-38.18875	-20.75	189.42	134	254	3.44	766.22453	2903264.597	0.155	1.470198
Holochilus_chacarius	Cricetidae	72.9032258064516	7	211	-25.8579722580525	-32.28742	-20.63333	223.790322580645	179	252	3.44	766.22453	773394.8405	0.204	1.293907
Holochilus_sciureus	Cricetidae	175.15	3	372	-11.2300405	-18.46667	6.76667	256	241	269	5	766.22453	9439567.539	0.171	2.006646
Hyaena_brunnea	Hyaenidae	1099.61538461538	130	1876	-22.5630215384615	-28.14466	-20.50509	205.384615384615	179	217	2.3	3102.621667	NA	32.2003	72.92068
Hyaena_hyaena	Hyaenidae	147.853333333333	-409	2810	30.8736808159491	-3.3741	36.76667	212.875151515152	101	308	2.5	3351.042633	23680304.38	41.7051	101.021543
Hybomys_univittatus	Muridae	978.396226415094	19	3384	0.424160188679245	-4.7833	5.76667	222.028301886792	102	266	2.4	624.3996409	2270905.355	0.0476	0.63525
Hydromys_chrysogaster	Muridae	225.43137254902	4	1640	-31.4982507627051	-42.98	-5.15	168.962264150943	116	274	3.8	824.9033333	4015607.543	0.3535	3.155331
Hydropotes_inermis	Cervidae	18.2857142857143	8	41	33.9790128571429	31.21667	37.82714	141.428571428571	114	162	3	2190	182963.171	14	5.982606
Hylaeamys_megacephalus	Cricetidae	247.483870967742	0	930	-4.11706563761973	-24.45	10.56667	253.548387096774	206	273	4.02	470.3622	6045366.167	0.0578	0.977013
Hylaeamys_yunganus	Cricetidae	450.321428571429	65	1763	-6.46210821428571	-15.11056	3.11667	245.535714285714	191	265	NA	470.3622	5368829.069	0.0605	0.977615
Hylobates_agilis	Hylobatidae	61.5	44	79	-1.536385	-2.31667	-0.7561	268	266	270	1	5475	390916.1317	5.65	5.169711
Hylobates_lar	Hylobatidae	410.590909090909	13	2232	15.1421039646297	3.53971	19.00387	255.363636363636	176	273	1	5475	645755.4381	4.892	1.2
