species	geoArea_km2	BodyMassKg_notInputed	DispDist_notInputed
Ateles_belzebuth	1189357.653	5	14.314752
Ateles_chamek	2468473.278	6	11.611276
Ateles_fusciceps	218630.9334	9.1	8.740714
Ateles_geoffroyi	912013.2171	5.2849	9.556066
Ateles_hybridus	168039.0202	8.675	8.033885
Ateles_marginatus	530935.7308	6	8.33242
Ateles_paniscus	1075531.442	7.9001	13.562044
Atelocynus_microtis	2890488.126	7.75	13.917858
Atherurus_africanus	3591567.227	1.934	4.852414
Atherurus_macrourus	2699372.064	2	3.652869
Atilax_paludinosus	14223211.91	3.3	17.944945
Atlantoxerus_getulus	303964.5334	0.251	0.724628
Auliscomys_boliviensis	212962.4728	0.0657	0.510634
Auliscomys_pictus	313248.6359	0.0547	0.499521
Auliscomys_sublimis	397677.0195	0.038	0.426573
Avahi_betsileo	980.9160709	1.05	0.462795
Avahi_cleesei	2608.723366	0.83	0.50203
Avahi_laniger	51252.07959	1.3	0.84829
Avahi_meridionalis	1576.347498	1.06	0.515404
Avahi_mooreorum	2034.312347	NA	NA
Avahi_occidentalis	3091.518445	0.85	0.530251
Avahi_peyrierasi	4416.984884	0.92	0.595389
Avahi_ramanantsoavanai	5885.660821	0.98	0.655952
Avahi_unicolor	788.9621129	0.85	0.392909
Axis_axis	2384915.907	66.1728	26.619565
Axis_calamianensis	1361.925151	40.5	3.733251
Axis_kuhlii	64.64286866	55	2.289105
Axis_porcinus	364696.9344	34.1278	11.357004
Babyrousa_babyrussa	13369.38905	100	10.07027
Babyrousa_celebensis	137809.5405	84.3275	28.449961
Babyrousa_togeanensis	540.2927447	113.7628	10.213128
Baiomys_musculus	455208.9094	0.009	0.191906
Baiomys_taylori	1285156.497	0.008	0.212102
Baiyankamys_habbema	788.1887579	0.09	0.182644
Baiyankamys_shawmayeri	66335.21913	0.0784	0.439387
Balaena_mysticetus	9900850.603	1.00E+05	12233.27095
Balaenoptera_acutorostrata	149885916.6	10000	5007.68573
Balaenoptera_bonaerensis	183195809.7	NA	NA
Balaenoptera_borealis	181745115.6	20000	8150.597036
Balaenoptera_edeni	230727318.6	20000	8581.586852
Balaenoptera_musculus	450448656.5	190000	42141.47486
Balaenoptera_omurai	25440025.74	NA	NA
Balaenoptera_physalus	208620067.3	70000	18784.80501
Balantiopteryx_infusca	2879.889937	0.0044	0.039422
Balantiopteryx_io	172495.8128	0.0043	0.093997
Balantiopteryx_plicata	842259.7379	0.0064	0.170931
Balionycteris_maculata	578027.6175	0.0134	0.165076
