Source	ID	MasterTax_Order	MasterTax_Family	MasterTax_SciName	matched_name	matching_source	NCBI_SciName	NCBI_Rank	NCBI_ID
IUCN	41313	EULIPOTYPHLA	NESOPHONTIDAE	Nesophontes_edithae	0	IUCN_EX	0	0	0
IUCN	14672	EULIPOTYPHLA	NESOPHONTIDAE	Nesophontes_hypomicrus	0	IUCN_EX	0	0	0
IUCN	136381	EULIPOTYPHLA	NESOPHONTIDAE	Nesophontes_major	0	IUCN_EX	0	0	0
IUCN	14673	EULIPOTYPHLA	NESOPHONTIDAE	Nesophontes_micrus	0	IUCN_EX	0	0	0
IUCN	14674	EULIPOTYPHLA	NESOPHONTIDAE	Nesophontes_paramicrus	0	IUCN_EX	0	0	0
IUCN	14676	EULIPOTYPHLA	NESOPHONTIDAE	Nesophontes_zamicrus	0	IUCN_EX	0	0	0
IUCN	20757	RODENTIA	MURIDAE	Nesoromys_ceramicus	0	0	0	0	0
IUCN	14706	RODENTIA	CRICETIDAE	Nesoryzomys_darwini	0	IUCN_EX	0	0	0
IUCN	14707	RODENTIA	CRICETIDAE	Nesoryzomys_fernandinae	Nesoryzomys_fernandinae	IUCN	Nesoryzomys_fernandinae	Species	89124
IUCN	14708	RODENTIA	CRICETIDAE	Nesoryzomys_indefessus	0	IUCN_EX	0	0	0
IUCN	40765	RODENTIA	CRICETIDAE	Nesoryzomys_narboroughi	_Matched-manually-to-NCBI	IUCN	Nesoryzomys_narboroughi	Species	218805
IUCN	14709	RODENTIA	CRICETIDAE	Nesoryzomys_swarthi	Nesoryzomys_swarthi	IUCN	Nesoryzomys_swarthi	Species	218800
IUCN	14604	CETARTIODACTYLA	BOVIDAE	Nesotragus_moschatus	Nesotragus_moschatus	IUCN	Neotragus_moschatus	Species	66442
IUCN	14604	CETARTIODACTYLA	BOVIDAE	Nesotragus_moschatus	Nesotragus_moschatus	IUCN	Neotragus_moschatus_livingstonianus	Subspecies	66445
IUCN	14604	CETARTIODACTYLA	BOVIDAE	Nesotragus_moschatus	Nesotragus_moschatus	IUCN	Neotragus_moschatus_zuluensis	Subspecies	66446
IUCN	41468	EULIPOTYPHLA	TALPIDAE	Neurotrichus_gibbsii	Neurotrichus_gibbsii	IUCN	Neurotrichus_gibbsii	Species	182677
IUCN	136236	RODENTIA	CRICETIDAE	Neusticomys_ferreirai	0	0	0	0	0
IUCN	14740	RODENTIA	CRICETIDAE	Neusticomys_monticolus	Neusticomys_monticolus	IUCN	Neusticomys_monticolus	Species	548546
IUCN	14741	RODENTIA	CRICETIDAE	Neusticomys_mussoi	0	0	0	0	0
IUCN	14742	RODENTIA	CRICETIDAE	Neusticomys_oyapocki	0	0	0	0	0
IUCN	14743	RODENTIA	CRICETIDAE	Neusticomys_peruviensis	0	0	0	0	0
IUCN	14744	RODENTIA	CRICETIDAE	Neusticomys_venezuelae	0	0	0	0	0
IUCN	9917	CETARTIODACTYLA	BOVIDAE	Nilgiritragus_hylocrius	Nilgiritragus_hylocrius	IUCN	Hemitragus_hylocrius	Species	330464
IUCN	40766	RODENTIA	MURIDAE	Nilopegamys_plumbeus	0	0	0	0	0
IUCN	40529	DASYUROMORPHIA	DASYURIDAE	Ningaui_ridei	Ningaui_ridei	IUCN	Ningaui_ridei	Species	32553
IUCN	40530	DASYUROMORPHIA	DASYURIDAE	Ningaui_timealeyi	Ningaui_timealeyi	IUCN	Ningaui_timealeyi	Species	60702
IUCN	40531	DASYUROMORPHIA	DASYURIDAE	Ningaui_yvonneae	Ningaui_yvonneae	COL	Ningaui_yvonnae	Species	32554
IUCN	14812	RODENTIA	MURIDAE	Niviventer_andersoni	Niviventer_andersoni	IUCN	Niviventer_andersoni	Species	425032
IUCN	14813	RODENTIA	MURIDAE	Niviventer_brahma	_Matched-manually-to-NCBI	IUCN	Nivivneter_brahma	Species	425030
IUCN	136512	RODENTIA	MURIDAE	Niviventer_cameroni	0	0	0	0	0
IUCN	14814	RODENTIA	MURIDAE	Niviventer_confucianus	Niviventer_confucianus	IUCN	Niviventer_confucianus	Species	248811
IUCN	14815	RODENTIA	MURIDAE	Niviventer_coninga	Niviventer_coninga	IUCN	Niviventer_coninga	Species	357352
IUCN	14816	RODENTIA	MURIDAE	Niviventer_cremoriventer	Niviventer_cremoriventer	IUCN	Niviventer_cremoriventer	Species	69083
IUCN	14817	RODENTIA	MURIDAE	Niviventer_culturatus	Niviventer_culturatus	IUCN	Niviventer_culturatus	Species	332666
IUCN	14818	RODENTIA	MURIDAE	Niviventer_eha	Niviventer_eha	IUCN	Niviventer_eha	Species	425033
IUCN	14819	RODENTIA	MURIDAE	Niviventer_excelsior	Niviventer_excelsior	IUCN	Niviventer_excelsior	Species	349709
IUCN	136747	RODENTIA	MURIDAE	Niviventer_fraternus	0	0	0	0	0
IUCN	14820	RODENTIA	MURIDAE	Niviventer_fulvescens	Niviventer_fulvescens	IUCN	Niviventer_fulvescens	Species	83774
IUCN	14820	RODENTIA	MURIDAE	Niviventer_fulvescens	Niviventer_fulvescens	MSW3	Niviventer_bukit	Species	681845
IUCN	14820	RODENTIA	MURIDAE	Niviventer_fulvescens	Niviventer_fulvescens	MSW3	Niviventer_huang	Species	979565
IUCN	14821	RODENTIA	MURIDAE	Niviventer_hinpoon	Niviventer_hinpoon	IUCN	Niviventer_hinpoon	Species	1383893
IUCN	14823	RODENTIA	MURIDAE	Niviventer_lepturus	0	0	0	0	0
IUCN	14824	RODENTIA	MURIDAE	Niviventer_niviventer	Niviventer_niviventer	IUCN	Niviventer_niviventer	Species	83757
IUCN	14825	RODENTIA	MURIDAE	Niviventer_rapit	Niviventer_rapit	IUCN	Niviventer_rapit	Species	349710
IUCN	14826	RODENTIA	MURIDAE	Niviventer_tenaster	Niviventer_tenaster	IUCN	Niviventer_tenaster	Species	946209
IUCN	14829	CHIROPTERA	NOCTILIONIDAE	Noctilio_albiventris	Noctilio_albiventris	IUCN	Noctilio_albiventris	Species	94962
