tiplabel	gen	fam	ord	clade	higher	genes	samp	PC	Source_upham	ID_upham	extinct?	newSinceMSW3?	IFnew_Category	IFnew_GeoRegion	IFnew_Citation
Akodon_juninensis_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	737	0	0	NA	NA	NA
Akodon_kofordi_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	5	sampled	PC12_Cricetidae	IUCN	739	0	0	NA	NA	NA
Akodon_latebricola_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	741	0	0	NA	NA	NA
Akodon_leucolimnaeus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	IUCN	136729	0	0	NA	NA	NA
Akodon_lindberghi_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	742	0	0	NA	NA	NA
Akodon_lutescens_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	4	sampled	PC12_Cricetidae	IUCN	753	0	0	NA	NA	NA
Akodon_mimus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	6	sampled	PC12_Cricetidae	IUCN	746	0	0	NA	NA	NA
Akodon_molinae_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	747	0	0	NA	NA	NA
Akodon_mollis_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	748	0	0	NA	NA	NA
Akodon_montensis_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	6	sampled	PC12_Cricetidae	IUCN	136197	0	0	NA	NA	NA
Akodon_mystax_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	136260	0	0	NA	NA	NA
Akodon_neocenus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	IUCN	749	0	0	NA	NA	NA
Akodon_oenos_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	IUCN	136408	0	0	NA	NA	NA
Akodon_orophilus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	752	0	0	NA	NA	NA
Akodon_paranaensis_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	3	sampled	PC12_Cricetidae	IUCN	136483	0	0	NA	NA	NA
Akodon_pervalens_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	IUCN	136676	0	0	NA	NA	NA
Akodon_philipmyersi_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	136753	0	0	NA	NA	NA
Akodon_polopi_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	newSp	100000006	0	1	deNovo	Argentina__(Cordoba)	"Jayat,__J.P.,__Ortiz,__P.E.,__Salazar-Bravo,__J.,__PardiÃ±as,__U.F.J.__&__D'ElÃ_a,__G.__2010.__The__Akodon__boliviensis__species__group__(Rodentia:__Cricetidae:__Sigmodontinae)__in__Argentina:__species__limits__and__distribution,__with__the__description__of__a__new__entity.__Zootaxa__2409:1-61"
Akodon_reigi_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	136693	0	0	NA	NA	NA
Akodon_sanctipaulensis_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	IUCN	755	0	0	NA	NA	NA
Akodon_serrensis_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	756	0	0	NA	NA	NA
Akodon_siberiae_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	757	0	0	NA	NA	NA
Akodon_simulator_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	758	0	0	NA	NA	NA
Akodon_spegazzinii_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	3	sampled	PC12_Cricetidae	IUCN	759	0	0	NA	NA	NA
Akodon_subfuscus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	760	0	0	NA	NA	NA
Akodon_surdus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	0	imputed	PC12_Cricetidae	IUCN	761	0	0	NA	NA	NA
Akodon_sylvanus_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	1	sampled	PC12_Cricetidae	IUCN	762	0	0	NA	NA	NA
Akodon_toba_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	3	sampled	PC12_Cricetidae	IUCN	763	0	0	NA	NA	NA
Akodon_torques_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	7	sampled	PC12_Cricetidae	IUCN	764	0	0	NA	NA	NA
Akodon_varius_CRICETIDAE_RODENTIA	Akodon	CRICETIDAE	RODENTIA	Mouse-related	Euarchontoglires	2	sampled	PC12_Cricetidae	IUCN	766	0	0	NA	NA	NA
