species frame Nind size S EstPi_ferretti EstTheta_ferretti
Apodemus_sylvaticus 1 919 380 95 0.00998705898232811 0.0355492035986237
Apodemus_sylvaticus 2 919 380 51 0.00177761208676383 0.0190901323257899
Apodemus_sylvaticus 3 919 380 279 0.0652071146369829 0.104463560690961
Apodemus_uralensis 1 97 380 26 0.0127666903562817 0.0147305354934187
Apodemus_uralensis 2 97 380 8 0.00315121429850628 0.00453428502255819
Apodemus_uralensis 3 97 380 124 0.0837431165350588 0.0703631100516056
Apodemus_witherbyi 1 39 380 33 0.0144463074749176 0.0229033486119337
Apodemus_witherbyi 2 39 380 10 0.00347707972290072 0.0069418975596039
Apodemus_witherbyi 3 39 379 119 0.0570950420547029 0.0827121642679404
Apomys_abrae 1 14 380 5 0.00519246835036309 0.00458124448069755
Apomys_abrae 2 14 379 2 0.00253607430388433 0.00183713022334401
Apomys_abrae 3 14 379 50 0.0614824050180251 0.0459515199834754
Apomys_banahao 1 8 380 1 0.000657894736842105 0.00101971447994561
Apomys_banahao 2 8 379 0 0 0
Apomys_banahao 3 8 379 5 0.00398919462244 0.00511134206804899
Apomys_brownorum 1 5 380 1 0.00105263157894737 0.00126916975145425
Apomys_brownorum 2 5 379 0 0 0
Apomys_brownorum 3 5 379 1 0.00105540897097625 0.00127415587173497
Apomys_datae 1 24 380 18 0.0143497656143688 0.0130117053359846
Apomys_datae 2 24 379 6 0.00427834946591399 0.0043486876634875
Apomys_datae 3 24 379 102 0.087879718883565 0.0739301258779721
Apomys_hylocetes 1 6 380 2 0.00175438596491228 0.00232067918544158
Apomys_hylocetes 2 6 379 0 0 0
Apomys_hylocetes 3 6 379 5 0.00545294635004398 0.00581711005972227
Apomys_insignis 1 6 380 2 0.00228070175438597 0.00230556409468181
Apomys_insignis 2 6 379 0 0 0
Apomys_insignis 3 6 379 5 0.00668425681618294 0.00577912195873701
Apomys_iridensis 1 5 204 0 0 0
Apomys_iridensis 2 5 203 1 0.00295566502463054 0.00238284352660843
Apomys_iridensis 3 5 203 6 0.0118226600985222 0.0143055831512021
Apomys_lubangensis 1 6 372 2 0.00304659498207885 0.00315498882608124
Apomys_lubangensis 2 6 371 0 0 0
Apomys_lubangensis 3 6 371 4 0.00575022461814915 0.00633278800992136
Apomys_magnus 1 6 380 1 0.00140350877192982 0.00115251632731462
Apomys_magnus 2 6 379 0 0 0
Apomys_magnus 3 6 379 7 0.0098504837291117 0.00808890087244565
Apomys_microdon 1 8 380 7 0.00554511278195489 0.00717309357959326
Apomys_microdon 2 8 379 0 0 0
Apomys_microdon 3 8 379 60 0.0567596431712527 0.0616474548407928
Apomys_musculus 1 5 379 5 0.00800351802990325 0.00668598172498326
Apomys_musculus 2 5 378 0 0 0
Apomys_musculus 3 5 378 12 0.0197530864197531 0.0160857908847184
Apomys_sierrae 1 28 380 16 0.00778781774205115 0.0109863011943746
Apomys_sierrae 2 28 379 2 0.000551437226898968 0.00137694502211408
Apomys_sierrae 3 28 379 60 0.0294894963932477 0.0413113791829878
Apomys_zambalensis 1 25 380 8 0.006 0.00557544087828671
