species	check
Equus_caballus	inFrame1
Equus_grevyi	inFrame1
Equus_hemionus	inFrame1
Equus_kiang	inFrame1
Equus_quagga	inFrame1
Equus_zebra	inFrame1
Erinaceus_concolor	inFrame1
Erinaceus_europaeus	inFrame1
Erophylla_bombifrons	inFrame1
Erophylla_sezekorni	inFrame1
Erythrocebus_patas	inFrame1
Eschrichtius_robustus	inFrame1
Eubalaena_glacialis	inFrame1
Euchoreutes_naso	inFrame1
Eudorcas_rufifrons	inFrame1
Eudorcas_thomsonii	notInFrame123
Eulemur_albifrons	inFrame1
Eulemur_collaris	inFrame1
Eulemur_coronatus	inFrame1
Eulemur_flavifrons	inFrame1
Eulemur_fulvus	inFrame1
Eulemur_mongoz	inFrame1
Eulemur_rubriventer	inFrame1
Eulemur_rufifrons	inFrame1
Eulemur_rufus	inFrame1
Eulemur_sanfordi	inFrame1
Eumetopias_jubatus	inFrame1
Eumops_auripendulus	inFrame1
Eumops_floridanus	inFrame1
Eumops_glaucinus	inFrame1
Eumops_perotis	notInFrame123
Euneomys_chinchilloides	inFrame1
Eupetaurus_cinereus	inFrame1
Eupleres_goudotii	inFrame1
Euroscaptor_longirostris	inFrame1
Euroscaptor_mizura	inFrame1
Euroscaptor_parvidens	inFrame1
Euryoryzomys_russatus	inFrame1
Euryzygomatomys_spinosus	inFrame1
Felis_catus	inFrame1
Felis_chaus	inFrame1
Felis_margarita	inFrame1
Felis_silvestris	inFrame1
Fukomys_whytei	inFrame1
Galago_senegalensis	inFrame1
Galagoides_demidovii	inFrame1
Galea_musteloides	inFrame1
Galemys_pyrenaicus	inFrame1
Galeopterus_variegatus	inFrame1
Gazella_arabica	inFrame1
Gazella_bennettii	inFrame1
Gazella_cuvieri	inFrame1
Gazella_dorcas	inFrame1
Gazella_gazella	inFrame1
Gazella_leptoceros	inFrame1
Gazella_spekei	inFrame1
Gazella_subgutturosa	inFrame1
Genetta_genetta	inFrame1
Genetta_maculata	inFrame1
Genetta_pardina	inFrame1
Genetta_servalina	inFrame1
Genetta_thierryi	inFrame1
Genetta_tigrina	inFrame1
Geomys_breviceps	inFrame1
Geomys_bursarius	notInFrame123
Geomys_personatus	inFrame1
Geomys_pinetis	inFrame1
Geomys_texensis	inFrame1
Georychus_capensis	inFrame1
Geoxus_valdivianus	inFrame1
Gerbilliscus_gambiana	inFrame1
Gerbilliscus_guineae	inFrame1
Gerbilliscus_kempi	inFrame1
Gerbilliscus_leucogaster	inFrame1
Gerbilliscus_nigricaudus	inFrame1
Gerbilliscus_phillipsi	notInFrame123
Gerbilliscus_robustus	inFrame1
Gerbillurus_paeba	inFrame1
Gerbillus_amoenus	inFrame1
Gerbillus_andersoni	inFrame1
Gerbillus_campestris	inFrame1
Gerbillus_floweri	inFrame1
Gerbillus_gerbillus	inFrame1
Gerbillus_henleyi	inFrame1
Gerbillus_latastei	inFrame1
Gerbillus_nancillus	inFrame1
Gerbillus_nanus	inFrame1
Gerbillus_nigeriae	inFrame1
Gerbillus_occiduus	inFrame1
Gerbillus_perpallidus	inFrame1
Gerbillus_pyramidum	inFrame1
Gerbillus_simoni	inFrame1
Gerbillus_tarabuli	inFrame1
Giraffa_camelopardalis	inFrame1
Glaucomys_sabrinus	inFrame1
Glaucomys_volans	inFrame1
Glauconycteris_argentata	inFrame1
Glauconycteris_beatrix	inFrame1
Glauconycteris_egeria	inFrame1
Glauconycteris_variegata	inFrame1
Glirulus_japonicus	inFrame1
Glis_glis	inFrame1
Globicephala_macrorhynchus	inFrame1
Globicephala_melas	inFrame1
Glossophaga_longirostris	inFrame1
Glossophaga_soricina	inFrame1
Gorilla_beringei	inFrame1
Gorilla_gorilla	inFrame1
Gracilinanus_agilis	inFrame1
Gracilinanus_emiliae	inFrame1
Gracilinanus_microtarsus	inFrame1
Gracilinanus_peruanus	inFrame1
Grampus_griseus	inFrame1
Graomys_griseoflavus	inFrame1
Gulo_gulo	inFrame1
Gymnuromys_roberti	inFrame1
Habromys_ixtlani	inFrame1
Habromys_lepturus	inFrame1
Habromys_lophurus	inFrame1
Habromys_simulatus	inFrame1
Halichoerus_grypus	inFrame1
Handleyomys_alfaroi	inFrame1
Handleyomys_chapmani	inFrame1
Handleyomys_guerrerensis	inFrame1
Handleyomys_melanotis	inFrame1
